Scientific Name,Local Name,has_fruits
Faidherbia albida,,False
Ocotea usambarensis,mkongo,False
Melia azedarach,mpenda bure,False
Grevillea robusta,gravellia,False
Casuarina equisetifolia,kashorina,False
Pouteria adolfi-friederici,Munina,False
Acacia gerrardii,Muthi,False
Lannea rivae,kyatha,False
Diospyros ferrea,mulilu,False
Acacia nilotica,kisemei,False
Breonadia salicina,mdowe,False
Millettia dura,mwaghani,False
Iti,iti ya wasi,False
Tamarindus indica,mkwaju,True
Acacia tortilis,wapugha,False
Acacia mellifera,iti,False
Senna siamea,mjohoro,False
Monoon longifolium,ashok,False
Citrus limon,lemon tree,True
Mangifera indica,mango tree,True
Terminalia brownii,Kiuku,False
Dodonaea viscosa,Kamulingula,False
Sterculia africana,Kiusya,False
Balanites aegyptiaca,Kilului,True
Adansonia digitata,Kiamba,True
Cordia sinensis,Muthiia,False
Terminalia prunioides,Mutooo,False
Cassia arereh,Mwela ndathe,False
Markhamia lutea,Kyooa,False
Delonix elata,Muange,False
,Kyuasi,False
Acacia elatior,Mbunga,False
Azadirachta indica,Mwarubaini,False
Dalbergia melanoxylon,muvingo,False
Olea europaea,muthaalwa,False
Rhus natalensis,muthingii,False
Trichilia emetica,mututi,False
Acacia senegal,kingole,False
Dichrostachys cinerea,muvilisya,False
Polyscias fulva,munguuthe,False
Combretum molle,mwaa,False
Osyris lanceolata,kiulua,False
Citrus sinensis,orange tree,True
Combretum apiculatum,itithi,False
Combretum aculeatum,imuna,False
Maesopsis eminii,musinziili,False
Cassia sieberiana,kaluli,False
Croton megalocarpus,kithulu,False
Albizia anthelmintica,porozi,False
Eriobotrya japonica,Kiundwa,False
Melia volkensii,Mukau,False
Commiphora glandulosa,Ikuu,False
Dracaena steudneri,Kithea,False
Annona cherimola,kitoo,False
Millettia ferruginea,mwava,False
Ficus sur,muvumu,False
Peltophorum africanum,mugamu,False
Bridelia micrantha,mumora,False
Podocarpus latifolius,podo,False
Erythrina abyssinica,mulungu,False
Acacia lahai,mzaule,False
Acacia hockii,mnyanga,False
Euphorbia candelabrum,euphorbia candelabrum,False
Ficus sycomorus,mkuyu,False
Acacia,acacia,False
Combretum,itithi,False
Berchemia discolor,kisaaya,False
Calliandra,kalila,False
Euphorbia tirucalli,Ndau,False
Leucaena leucocephala,lucina,False
Syzygium cumini,Mzambarau,False
Khaya anthotheca,Kiumo,False
Neoboutonia macrocalyx,kiongoa,False
Vangueria apiculata,Muva,True
Borassus aethiopum,Muumo,False
Newtonia buchananii,Mukumi,False
Acacia xanthophloea,Mulela,False
Syzygium germainii,zambarau,True
Persea americana,Kikomoa,True
Syzygium cordatum,zambarau,True
Myrianthus holstii,Kiuua,True
Bombax rhodognaphalon,Mwaghare,False
Boscia coriacea,Chariso,False
Acacia nubica,Iti ya wasi,False
Terminalia catappa,Mkungu,True
Cascabela thevetia,Yellow Elder,False
Passiflora edulis,Kisundi,False
Boswellia neglecta,Mtunguri,False
Prunus africana,Mngima,False
Cordia monoica,Mshasha,False
Vachellia,Mghunga,False
Lannea schweinfurthii,mfumbu,False
Eucalyptus camaldulensis,mkong0,False
Psidium guajava,mpera,True
Ficus conraui,Ndido,False
Albizia coriaria,Mugamu,False
Phoenix reclinata,kingole,False
Terminalia mantaly,umbrella,False
Bambusa vulgaris,Bamboo,False
Grewia bicolor,Kikalawa,True
Ricinus communis,mwooa,False
Juniperus procera,mukuluu,False
Casimiroa edulis,white supporter,True
Eucalyptus,blue gum,False
Eucalyptus globulus,Blue gam,False
Macadamia tetraphylla,macadamia,False
